city,country,lat,lng,Revenue,qty
Abadan,Turkmenistan,38.0517,58.21,5700.968999999999,6.0
Abeokuta,Nigeria,7.1604,3.35,1425.0,1.0
Aberdeen,United Kingdom,57.1704,-2.08,1000.48,1.0
Aberdeen,United States,39.5146,-76.173,8561.4,6.0
Aberdeen,United States,46.9757,-123.8095,9485.465,10.0
Abhā,Saudi Arabia,18.2301,42.5001,1499.0,1.0
Abilene,United States,38.9229,-97.2251,4750.4275,5.0
Abuja,Nigeria,9.0833,7.5333,15207.524000000001,6.0
Acarigua,Venezuela,9.5804,-69.2,2846.2,2.0
Ad Dīwānīyah,Iraq,31.9889,44.924,6000.96,6.0
Ado-Ekiti,Nigeria,7.6304,5.22,999.55,1.0
Afega,Samoa,-13.7973,-171.8531,10514.0,7.0
Agadir,Morocco,30.44,-9.62,2850.3704999999995,3.0
Agboville,Côte D’Ivoire,5.9403,-4.28,14278.5,10.0
Aginskoye,Russia,51.1031,114.5228,14980.0,10.0
Ahar,Iran,38.4829,47.0629,11392.4,8.0
Air Force Academy,United States,38.9942,-104.8639,1422.1499999999999,1.0
Aiyomojok,Cameroon,5.7504,8.9833,6650.9974999999995,7.0
Aizawl,India,23.7104,92.72,2851.9,2.0
Akmenė,Lithuania,56.25,22.75,14240.5,10.0
Al Fayyūm,Egypt,29.31,30.84,9955.05,7.0
Al Jabīn,Yemen,14.704,43.599,7490.0,5.0
Al Kūt,Iraq,32.4907,45.8304,11400.0,8.0
Al Marj,Libya,32.5005,20.83,1498.0,1.0
Al Mijlad,Sudan,11.0337,27.7333,13974.119999999999,5.5
Al Qunayţirah,Syria,33.1257,35.8236,15012.0,5.0
Al Qunfudhah,Saudi Arabia,19.1264,41.0789,12816.449999999999,9.0
Al ‘Aqabah,Jordan,29.527,35.0777,8557.695,9.0
Al ‘Azīzīyah,Libya,32.5319,13.0175,14234.8,5.0
Alameda,United States,37.767,-122.2673,4272.15,3.0
Alamogordo,United States,32.8837,-105.9624,7120.25,5.0
Alamosa,United States,37.4755,-105.877,3802.546,4.0
Albany,United States,42.6664,-73.7987,7500.0,5.0
Albert Lea,United States,43.6546,-93.3641,11384.8,8.0
Albertville,United States,34.2634,-86.2107,9504.845,10.0
Alderwood Manor,United States,47.8147,-122.2676,12008.0,8.0
Alexandria,United States,31.2923,-92.4702,6639.8255,7.0
Alicante,Spain,38.3512,-0.4836,7520.0,5.0
Allegan,United States,42.5299,-85.8462,6999.79,7.0
Allendale,United States,42.9851,-85.9509,9975.0,7.0
Allison Park,United States,40.573,-79.9603,3000.0,2.0
Almería,Spain,36.8303,-2.43,14823.66,5.5
Almirante,Panama,9.3,-82.4,9000.81,9.0
Aloha,United States,45.492,-122.8726,7125.0,5.0
Alotau,Papua New Guinea,-10.3021,150.4591,5692.4,4.0
Altay,China,47.8666,88.1166,11407.6,8.0
Amahai,Indonesia,-3.3281,128.9405,13518.0,9.0
Ambarchik,Russia,69.651,162.3336,9975.0,7.0
Amderma,Russia,69.763,61.6677,4280.7,3.0
American Canyon,United States,38.1796,-122.2583,12825.0,9.0
Amherst,Canada,45.8166,-64.2166,4752.4225,5.0
Amherst Center,United States,42.3757,-72.5188,13491.0,9.0
Amuria,Uganda,2.0036,33.6511,4500.0,3.0
An Nabk,Syria,34.017,36.7333,8567.1,6.0
Andoas,Peru,-2.9021,-76.4025,3998.36,4.0
Andong,"Korea, South",36.5659,128.725,2850.0,2.0
Andover,United States,42.6466,-71.1651,5700.0,4.0
Angola,United States,41.6432,-85.005,8555.699999999999,6.0
Angra do Heroísmo,Portugal,38.6504,-27.2167,4272.15,3.0
Angren,Uzbekistan,41.0304,70.1549,6000.0,4.0
Annandale,United States,38.8324,-77.196,9000.0,6.0
Anoka,United States,45.2099,-93.3893,949.2685,1.0
Anouvông,Laos,18.8989,103.0919,7510.0,5.0
Anshun,China,26.2504,105.93,4275.0,3.0
Anthony,United States,32.0132,-106.5984,8982.0,6.0
Antigua Guatemala,Guatemala,14.5667,-90.7333,13482.0,9.0
Antsohihy,Madagascar,-14.8661,47.9834,7125.0,5.0
Anykščiai,Lithuania,55.5246,25.1066,11407.6,8.0
Apple Valley,United States,44.7457,-93.2006,1901.5009999999997,2.0
Aptos,United States,36.9912,-121.8934,7495.0,5.0
Aqadyr,Kazakhstan,48.2749,72.8599,6999.509999999999,7.0
Arapongas,Brazil,-23.41,-51.43,10004.1,10.0
Araranguá,Brazil,-28.94,-49.5,10500.0,7.0
Arauca,Colombia,7.0907,-70.7616,14288.0,10.0
Archbald,United States,41.5077,-75.5453,7495.0,5.0
Arcoverde,Brazil,-8.42,-37.07,14278.5,10.0
Argentia,Canada,47.3004,-53.99,2848.4325000000003,3.0
Ariana,Tunisia,36.8667,10.2,9996.6,10.0
Arkadelphia,United States,34.125,-93.0719,9975.0,7.0
Arkansas City,United States,37.0726,-97.0385,2850.0,2.0
Arlington,United States,35.2594,-89.668,7139.25,5.0
Armenia,Colombia,4.5343,-75.6811,13509.0,9.0
Arroyos y Esteros,Paraguay,-25.05,-57.09,1500.0,1.0
Arsen’yev,Russia,44.1623,133.2823,7600.303999999999,8.0
Artvin,Turkey,41.183,41.818,4751.804999999999,5.0
Artëmovsk,Russia,54.3487,93.4355,2998.0,2.0
Arvayheer,Mongolia,46.25,102.7666,1423.1,1.0
Arys,Kazakhstan,42.4369,68.8048,5699.373,6.0
Arāk,Iran,34.0804,49.7,7490.0,5.0
As Sallūm,Egypt,31.567,25.15,1901.7099999999998,2.0
As Sidrah,Libya,30.6704,18.2666,11400.0,8.0
Ashland,United States,42.1905,-122.6992,12807.9,9.0
Ashville,United States,39.7239,-82.9576,9492.685,10.0
Asino,Russia,56.9931,86.1627,8994.0,6.0
Assis,Brazil,-22.6596,-50.42,949.981,1.0
Atascocita,United States,29.9777,-95.1953,5700.284999999999,6.0
Athabasca,Canada,54.717,-113.2666,8550.0,9.0
Athens,Greece,37.9833,23.7333,15000.0,10.0
Athens,United States,39.3269,-82.0987,1499.0,1.0
Atkarsk,Russia,51.8765,44.9961,15000.0,10.0
Atlantic,United States,41.3957,-95.0138,4500.0,3.0
August,United States,37.9796,-121.2625,8999.73,9.0
Aveiro,Portugal,40.641,-8.651,6004.0,4.0
Az Zaqāzīq,Egypt,30.5833,31.5167,7125.0,5.0
Az Zāwīyah,Libya,32.7604,12.72,2850.0,2.0
Añasco,Puerto Rico,18.286,-67.1411,11377.199999999999,8.0
Ağdam,Azerbaijan,39.991,46.9274,12833.55,9.0
Ağdam,Azerbaijan,40.9053,45.5564,1900.19,2.0
Aībak,Afghanistan,36.261,68.04,14250.0,10.0
Aţ Ţūr,Egypt,28.2394,33.6148,8544.3,6.0
Aḑ Ḑab‘ah,Egypt,31.0338,28.4333,4500.0,3.0
Baalbek,Lebanon,34.0058,36.2181,5703.8,4.0
Bacabal,Brazil,-4.23,-44.8,13518.0,9.0
Badajoz,Spain,38.8804,-6.97,7115.5,5.0
Badger,United States,64.8006,-147.3877,10486.0,7.0
Bahraigh,India,27.6204,81.6699,1000.69,1.0
Baicheng,China,45.62,122.82,1000.51,1.0
Baker Lake,Canada,64.317,-96.0167,6997.13,7.0
Balcarce,Argentina,-37.8333,-58.25,6398.501,2.5
Balch Springs,United States,32.7194,-96.6151,11384.8,8.0
Baldwin Park,United States,34.0829,-117.9721,12000.0,8.0
Baldwinsville,United States,43.157,-76.3319,10493.0,7.0
Balkanabat,Turkmenistan,39.5124,54.3649,1999.94,2.0
Balyqshy,Kazakhstan,47.0666,51.8666,999.52,1.0
Balıkesir,Turkey,39.6504,27.89,7596.884,8.0
Bangolo,Côte D’Ivoire,7.0123,-7.4864,5274.83,2.0
Bangor Base,United States,47.7227,-122.7146,6000.0,4.0
Banjarmasin,Indonesia,-3.33,114.5801,9502.375,10.0
Banī Suwayf,Egypt,29.0804,31.09,5692.4,4.0
Barcelona,Spain,41.3833,2.1834,12000.0,8.0
Barnaul,Russia,53.355,83.745,1498.0,1.0
Barnhart,United States,38.336,-90.4046,2849.031,3.0
Barnsley,United Kingdom,53.55,-1.4833,10507.0,7.0
Barnstable Town,United States,41.6722,-70.3599,4269.3,3.0
Barra do Bugres,Brazil,-15.0696,-57.19,13491.0,9.0
Barrington,United States,39.8689,-75.0514,2848.1,2.0
Bartica,Guyana,6.4104,-58.63,1426.8999999999999,1.0
Bartın,Turkey,41.6358,32.3375,8598.07,4.5
Basalt,United States,39.3663,-107.0413,1899.5249999999999,2.0
Basse-Terre,Guadeloupe,16.0,-61.7167,4497.0,3.0
Basseterre,Saint Kitts And Nevis,17.302,-62.717,3006.0,2.0
Bastia,France,42.7032,9.45,7129.75,5.0
Bath,United Kingdom,51.3837,-2.35,12000.0,8.0
Battlement Mesa,United States,39.4505,-108.0068,12807.9,9.0
